"","site","lon","lat","fixed_lon2","fixed_lat2"
"TEM","TEM",-71.32,-29.5,-71.35,-29.40167
"ARR","ARR",-71.32,-29.68,-71.40167,-29.69
"GUA","GUA",-71.47,-30.18,-71.43833,-30.14833
"PTAL","PTAL",-71.5,-30.92,-71.73,-30.89666
"POSC","POSC",-71.6,-31.42,-71.64,-31.43
"MOLL","MOLL",-71.5,-32.23,-71.56,-32.27
"MONT","MONT",-71.55,-32.95,-71.56,-32.86
"CUR","CUR",-71.73,-33.1,-71.72833,-33.13833
"QUN","QUN",-71.7,-33.18,-71.72334,-33.26833
"ELQ","ELQ",-71.7,-33.38,-71.77,-33.39
"ECIMN","ECIMN",-71.63,-33.5,-71.72167,-33.51833
"LCRUC","LCRUC",-71.63,-33.51,-71.72167,-33.51833
"PTL","PTL",-72.05,-34.43,-72.10167,-34.6
"BUCA","BUCA",-72.05,-34.65,-72.14167,-34.69
"CON","CON",-72.45,-35.35,-72.56167,-35.39
"PEL","PEL",-72.6,-35.82,-72.67833,-35.82
"BUP","BUP",-72.8,-36.07,-72.89167,-36.13833
