name,code,corrected_name
acanthina monodon,NUCELLA,Acanthina monodon
acanthocyclus gayi,ACA_GAYI,Acanthocyclus gayi
acanthocyclus hassleri,ACA_HASS,Acanthocyclus hassleri
acanthopleura echinata,ACANTH_EC,Acanthopleura echinata
chaetopleura peruviana,CHAE_PER,Chaetopleura peruviana
chiton  cummingii,CHIT_CUM,Chiton cumingsii
chiton  granosus,CHIT_GRA,Chiton granosus
chiton  latus,CHIT_LAT,Chiton latus
lottia  orbigny,COL_ORB,Lottia orbignyi
concholepas concholepas,CONCHOLE,Concholepas concholepas
enoplochiton  niger,ENOPLOCH,Enoplochiton niger
fissurella  costata,FIS_COST,Fissurella costata
fissurella  crassa,FIS_CRAS,Fissurella crassa
fissurella  cummingii,FIS_CUM,Fissurella cumingi
fissurella  limbata,FIS_LIMB,Fissurella limbata
fissurella  maxima,FIS_MAX,Fissurella maxima
fissurella  picta,FIS_PICT,Fissurella picta
fissurella  puhlcra,FIS_PULC,Fissurella pulchra
heliaster helianthus,HELIASTE,Heliaster helianthus
scurria  araucana,SCU_ARAU,Scurria araucana
scurria  ceciliana,SCU_BOHE,Scurria ceciliana
scurria  ceciliana,SCU_CECI,Scurria ceciliana
scurria  plana,SCU_PLAN,Scurria plana
scurria scurra,SCU_SCUR,Scurria scurra
scurria variabilis,SCU_FRAG,Scurria variabilis
scurria variabilis,SCU_VARI,Scurria variabilis
scurria variabilis,SCU_PARA,Scurria variabilis
scurria variabilis,COL_PARA,Scurria variabilis
scurria viridula,SCU_VIRI,Scurria viridula
scurria zebrina,SCU_ZEBR,Scurria zebrina
siphonaria lesoni,SIPHONAR,Siphonaria lessonii
stichaster striatus,STICHAS,Stichaster striatus
tegula atra,TEG_ATRA,Tegula atra
tonicia  benaventii,TON_BENA,Tonicia lineolata
tonicia  chilensis,TON_CHIL,Tonicia chilensis
tonicia  elegans,TON_ELEG,Tonicia elegans
adenocystis utricularis,ADENOCY,Adenocystis utricularis
ahnfeltiopsis spp.,AHNPSIS,Ahnfeltiopsis spp.
anthotoe spp.,ANTHOTOE,Anthothoe spp.
